number_particles:96,cluster_radius:12.649111,fractal_Dimention:1.798696,
number_particles:97,cluster_radius:12.649111,fractal_Dimention:1.802780,
number_particles:98,cluster_radius:12.649111,fractal_Dimention:1.806822,
number_particles:99,cluster_radius:12.649111,fractal_Dimention:1.810823,
number_particles:100,cluster_radius:12.649111,fractal_Dimention:1.814783,
number_particles:101,cluster_radius:12.806248,fractal_Dimention:1.809899,
number_particles:102,cluster_radius:12.806248,fractal_Dimention:1.813762,
number_particles:103,cluster_radius:12.806248,fractal_Dimention:1.817588,
number_particles:104,cluster_radius:12.806248,fractal_Dimention:1.821377,
number_particles:105,cluster_radius:12.806248,fractal_Dimention:1.825130,
number_particles:106,cluster_radius:12.806248,fractal_Dimention:1.828848,
number_particles:107,cluster_radius:12.806248,fractal_Dimention:1.832530,
number_particles:108,cluster_radius:12.806248,fractal_Dimention:1.836178,
number_particles:109,cluster_radius:12.806248,fractal_Dimention:1.839792,
number_particles:110,cluster_radius:12.806248,fractal_Dimention:1.843374,
number_particles:111,cluster_radius:12.806248,fractal_Dimention:1.846923,
number_particles:112,cluster_radius:12.806248,fractal_Dimention:1.850440,
number_particles:113,cluster_radius:13.453624,fractal_Dimention:1.818752,
number_particles:114,cluster_radius:13.453624,fractal_Dimention:1.822141,
number_particles:115,cluster_radius:13.453624,fractal_Dimention:1.825502,
number_particles:116,cluster_radius:13.453624,fractal_Dimention:1.828833,
number_particles:117,cluster_radius:13.453624,fractal_Dimention:1.832135,
number_particles:118,cluster_radius:13.453624,fractal_Dimention:1.835409,
number_particles:119,cluster_radius:13.453624,fractal_Dimention:1.838656,
number_particles:120,cluster_radius:13.453624,fractal_Dimention:1.841875,
number_particles:121,cluster_radius:13.892444,fractal_Dimention:1.822562,
number_particles:122,cluster_radius:13.892444,fractal_Dimention:1.825690,
number_particles:123,cluster_radius:14.035669,fractal_Dimention:1.821692,
number_particles:124,cluster_radius:14.035669,fractal_Dimention:1.824757,
number_particles:125,cluster_radius:14.035669,fractal_Dimention:1.827798,
number_particles:126,cluster_radius:14.035669,fractal_Dimention:1.830814,
number_particles:127,cluster_radius:14.035669,fractal_Dimention:1.833807,
number_particles:128,cluster_radius:14.035669,fractal_Dimention:1.836776,
number_particles:129,cluster_radius:14.035669,fractal_Dimention:1.839722,
number_particles:130,cluster_radius:14.035669,fractal_Dimention:1.842645,
number_particles:131,cluster_radius:14.035669,fractal_Dimention:1.845546,
number_particles:132,cluster_radius:14.035669,fractal_Dimention:1.848425,
number_particles:133,cluster_radius:14.035669,fractal_Dimention:1.851282,
number_particles:134,cluster_radius:14.035669,fractal_Dimention:1.854117,
number_particles:135,cluster_radius:14.035669,fractal_Dimention:1.856932,
number_particles:136,cluster_radius:14.035669,fractal_Dimention:1.859726,
number_particles:137,cluster_radius:14.035669,fractal_Dimention:1.862499,
number_particles:138,cluster_radius:14.035669,fractal_Dimention:1.865252,
number_particles:139,cluster_radius:14.317821,fractal_Dimention:1.854016,
number_particles:140,cluster_radius:14.317821,fractal_Dimention:1.856710,
number_particles:141,cluster_radius:14.317821,fractal_Dimention:1.859384,
number_particles:142,cluster_radius:15.033296,fractal_Dimention:1.828538,
number_particles:143,cluster_radius:15.033296,fractal_Dimention:1.831127,
number_particles:144,cluster_radius:15.033296,fractal_Dimention:1.833698,
number_particles:145,cluster_radius:15.033296,fractal_Dimention:1.836252,
number_particles:146,cluster_radius:15.033296,fractal_Dimention:1.838788,
number_particles:147,cluster_radius:15.033296,fractal_Dimention:1.841306,
number_particles:148,cluster_radius:15.033296,fractal_Dimention:1.843808,
number_particles:149,cluster_radius:15.033296,fractal_Dimention:1.846292,
number_particles:150,cluster_radius:15.652476,fractal_Dimention:1.821632,
number_particles:151,cluster_radius:15.652476,fractal_Dimention:1.824048,
number_particles:152,cluster_radius:15.652476,fractal_Dimention:1.826448,
number_particles:153,cluster_radius:15.652476,fractal_Dimention:1.828832,
number_particles:154,cluster_radius:15.652476,fractal_Dimention:1.831200,
number_particles:155,cluster_radius:15.652476,fractal_Dimention:1.833553,
number_particles:156,cluster_radius:15.652476,fractal_Dimention:1.835891,
number_particles:157,cluster_radius:15.652476,fractal_Dimention:1.838214,
number_particles:158,cluster_radius:15.652476,fractal_Dimention:1.840523,
number_particles:159,cluster_radius:15.652476,fractal_Dimention:1.842816,
number_particles:160,cluster_radius:15.652476,fractal_Dimention:1.845096,
number_particles:161,cluster_radius:15.652476,fractal_Dimention:1.847361,
number_particles:162,cluster_radius:15.652476,fractal_Dimention:1.849612,
number_particles:163,cluster_radius:16.552945,fractal_Dimention:1.814942,
number_particles:164,cluster_radius:16.552945,fractal_Dimention:1.817121,
number_particles:165,cluster_radius:16.552945,fractal_Dimention:1.819287,
number_particles:166,cluster_radius:16.552945,fractal_Dimention:1.821440,
number_particles:167,cluster_radius:16.552945,fractal_Dimention:1.823580,
number_particles:168,cluster_radius:16.552945,fractal_Dimention:1.825707,
number_particles:169,cluster_radius:16.552945,fractal_Dimention:1.827822,
number_particles:170,cluster_radius:16.552945,fractal_Dimention:1.829924,
number_particles:171,cluster_radius:16.552945,fractal_Dimention:1.832014,
number_particles:172,cluster_radius:16.552945,fractal_Dimention:1.834091,
number_particles:173,cluster_radius:16.552945,fractal_Dimention:1.836157,
number_particles:174,cluster_radius:16.552945,fractal_Dimention:1.838210,
number_particles:175,cluster_radius:16.552945,fractal_Dimention:1.840252,
number_particles:176,cluster_radius:16.552945,fractal_Dimention:1.842283,
number_particles:177,cluster_radius:16.552945,fractal_Dimention:1.844301,
number_particles:178,cluster_radius:17.029386,fractal_Dimention:1.827828,
number_particles:179,cluster_radius:17.029386,fractal_Dimention:1.829804,
